rank,image_id,file_name,split,total_tooth_count,n_duplicate_codes,duplicate_codes,n_missing_codes,missing_codes,n_position_violations,n_wrong_quadrant_both_axes,likely_global_framing,position_violation_detail,anomaly_score,primary_reason,reason_breakdown
180,train_quadrant_enumeration_disease_544,train_501.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
181,train_quadrant_enumeration_disease_440,train_206.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 46, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
182,train_quadrant_enumeration_disease_441,train_73.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
183,train_quadrant_enumeration_disease_442,train_1.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
184,train_quadrant_enumeration_disease_534,train_690.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
185,train_quadrant_enumeration_disease_395,train_488.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
186,train_quadrant_enumeration_disease_460,train_381.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
187,train_quadrant_enumeration_disease_471,train_486.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
188,train_quadrant_enumeration_disease_533,train_595.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
189,train_quadrant_enumeration_disease_48,train_233.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
190,train_quadrant_enumeration_disease_522,train_157.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
191,train_quadrant_enumeration_disease_492,train_411.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
192,train_quadrant_enumeration_disease_493,train_512.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
193,train_quadrant_enumeration_disease_497,train_579.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
194,train_quadrant_enumeration_disease_498,train_119.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
195,train_quadrant_enumeration_disease_5,train_475.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 43, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
196,train_quadrant_enumeration_disease_396,train_401.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 17, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
197,train_quadrant_enumeration_disease_569,train_661.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 17, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
198,train_quadrant_enumeration_disease_65,train_113.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
199,train_quadrant_enumeration_disease_323,train_134.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
200,train_quadrant_enumeration_disease_258,train_4.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
201,train_quadrant_enumeration_disease_259,train_154.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
202,train_quadrant_enumeration_disease_627,train_567.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
203,train_quadrant_enumeration_disease_62,train_617.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
204,train_quadrant_enumeration_disease_292,train_252.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
205,train_quadrant_enumeration_disease_506,train_81.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
206,train_quadrant_enumeration_disease_618,train_547.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
207,train_quadrant_enumeration_disease_31,train_669.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
208,train_quadrant_enumeration_disease_310,train_394.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 45, 46, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
209,train_quadrant_enumeration_disease_32,train_290.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
210,train_quadrant_enumeration_disease_326,train_183.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
211,train_quadrant_enumeration_disease_57,train_0.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
212,train_quadrant_enumeration_disease_332,train_367.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 46, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
213,train_quadrant_enumeration_disease_333,train_586.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
214,train_quadrant_enumeration_disease_34,train_271.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
215,train_quadrant_enumeration_disease_603,train_491.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
216,train_quadrant_enumeration_disease_35,train_702.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
217,train_quadrant_enumeration_disease_595,train_63.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
218,train_quadrant_enumeration_disease_591,train_165.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
219,train_quadrant_enumeration_disease_353,train_374.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
220,train_quadrant_enumeration_disease_370,train_631.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
221,train_quadrant_enumeration_disease_376,train_600.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 46, 47",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
222,train_quadrant_enumeration_disease_293,train_211.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
223,train_quadrant_enumeration_disease_140,train_204.png,train_quadrant_enumeration_disease,2,0,-,30,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 27, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.5,sparse_annotation,"missing_codes(+1.50), sparse_annotation(+5.0)"
224,train_quadrant_enumeration_disease_345,train_340.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 15, 17, 18, 21, 22, 23, 24, 25, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
225,train_quadrant_enumeration_disease_161,train_591.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 37, 41, 42, 43, 44, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
226,train_quadrant_enumeration_disease_629,train_390.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
227,train_quadrant_enumeration_disease_112,train_355.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 18, 21, 22, 23, 24, 25, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
228,train_quadrant_enumeration_disease_631,train_642.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
229,train_quadrant_enumeration_disease_12,train_264.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 35, 36, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
230,train_quadrant_enumeration_disease_634,train_427.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
231,train_quadrant_enumeration_disease_407,train_442.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
232,train_quadrant_enumeration_disease_130,train_603.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 35, 36, 37, 38, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
233,train_quadrant_enumeration_disease_134,train_319.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 16, 17, 18, 21, 22, 23, 24, 25, 27, 28, 31, 32, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
234,train_quadrant_enumeration_disease_641,train_23.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 27, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
235,train_quadrant_enumeration_disease_642,train_563.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
236,train_quadrant_enumeration_disease_136,train_400.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
237,train_quadrant_enumeration_disease_137,train_502.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 26, 28, 31, 32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
238,train_quadrant_enumeration_disease_139,train_588.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
239,train_quadrant_enumeration_disease_530,train_202.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
240,train_quadrant_enumeration_disease_663,train_589.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 47",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
241,train_quadrant_enumeration_disease_270,train_514.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
242,train_quadrant_enumeration_disease_665,train_288.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
243,train_quadrant_enumeration_disease_183,train_664.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
244,train_quadrant_enumeration_disease_189,train_437.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
245,train_quadrant_enumeration_disease_381,train_692.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
246,train_quadrant_enumeration_disease_201,train_506.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
247,train_quadrant_enumeration_disease_208,train_325.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
248,train_quadrant_enumeration_disease_38,train_61.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
249,train_quadrant_enumeration_disease_217,train_578.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 26, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
250,train_quadrant_enumeration_disease_22,train_305.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
251,train_quadrant_enumeration_disease_228,train_213.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 37, 38, 41, 42, 43, 44, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
252,train_quadrant_enumeration_disease_375,train_635.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 44, 45, 46, 47",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
253,train_quadrant_enumeration_disease_257,train_602.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 24, 25, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
254,train_quadrant_enumeration_disease_700,train_613.png,train_quadrant_enumeration_disease,3,0,-,29,"11, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 41, 42, 43, 45, 46, 47, 48",0,0,False,-,6.45,sparse_annotation,"missing_codes(+1.45), sparse_annotation(+5.0)"
